OBJECTID,Station_Name,Depth,Parameter,Concentration,Unit,Monitoring_Location,Date_of_Sample,
16427,WW89,0.1,Temperature - 00011,19,C,,5/4/18,00:00:00+00
16428,WW89,0.5,Temperature - 00011,18.8,C,,5/4/18,00:00:00+00
16429,WW89,3,Temperature - 00011,11.8,C,,5/4/18,00:00:00+00
16435,WW89,0.1,Temperature - 00011,18.4,C,,5/18/18,00:00:00+00
16436,WW89,0.5,Temperature - 00011,17.4,C,,5/18/18,00:00:00+00
16437,WW89,3,Temperature - 00011,13.9,C,,5/18/18,00:00:00+00
16443,WW89,0.1,Temperature - 00011,23.5,C,,6/2/18,00:00:00+00
16444,WW89,0.5,Temperature - 00011,24.3,C,,6/2/18,00:00:00+00
16445,WW89,3,Temperature - 00011,19.6,C,,6/2/18,00:00:00+00
16463,WW89,0.1,Temperature - 00011,22,C,,6/9/18,00:00:00+00
16464,WW89,0.5,Temperature - 00011,21.6,C,,6/9/18,00:00:00+00
16465,WW89,3,Temperature - 00011,19.1,C,,6/9/18,00:00:00+00
16471,WW89,0.1,Temperature - 00011,23,C,,6/24/18,00:00:00+00
16473,WW89,,Temperature - 00011,21.1,C,,6/24/18,00:00:00+00
16493,WW89,0.1,Temperature - 00011,29.3,C,,7/29/18,00:00:00+00
16494,WW89,0.5,Temperature - 00011,29.3,C,,7/29/18,00:00:00+00
16495,WW89,3,Temperature - 00011,26.5,C,,7/29/18,00:00:00+00
16514,WW89,0.1,Temperature - 00011,29.3,C,,8/18/18,00:00:00+00
16515,WW89,0.5,Temperature - 00011,29.3,C,,8/18/18,00:00:00+00
16516,WW89,3,Temperature - 00011,26.5,C,,8/18/18,00:00:00+00
16522,WW89,0.1,Temperature - 00011,26,C,,9/2/18,00:00:00+00
16523,WW89,0.5,Temperature - 00011,26.5,C,,9/2/18,00:00:00+00
16524,WW89,3,Temperature - 00011,25.7,C,,9/2/18,00:00:00+00
16542,WW89,0.1,Temperature - 00011,23,C,,9/15/18,00:00:00+00
16543,WW89,0.5,Temperature - 00011,22.9,C,,9/15/18,00:00:00+00
16544,WW89,3,Temperature - 00011,22.4,C,,9/15/18,00:00:00+00
16550,WW89,0.1,Temperature - 00011,19.9,C,,9/29/18,00:00:00+00
16551,WW89,0.5,Temperature - 00011,20,C,,9/29/18,00:00:00+00
16552,WW89,3,Temperature - 00011,20.2,C,,9/29/18,00:00:00+00
16570,WW89,0.1,Temperature - 00011,13.5,C,,10/19/18,00:00:00+00
16571,WW89,0.5,Temperature - 00011,14.1,C,,10/19/18,00:00:00+00
16572,WW89,3,Temperature - 00011,18.4,C,,10/19/18,00:00:00+00
16590,WW91,0.5,Temperature - 00011,17,C,,5/5/18,00:00:00+00
16591,WW91,3,Temperature - 00011,13,C,,5/5/18,00:00:00+00
16597,WW91,0.5,Temperature - 00011,18,C,,5/18/18,00:00:00+00
16598,WW91,3,Temperature - 00011,16,C,,5/18/18,00:00:00+00
16605,WW91,0.5,Temperature - 00011,22.5,C,,6/2/18,00:00:00+00
16625,WW91,0.5,Temperature - 00011,23,C,,6/9/18,00:00:00+00
16626,WW91,3,Temperature - 00011,19,C,,6/9/18,00:00:00+00
16633,WW91,0.5,Temperature - 00011,23,C,,6/23/18,00:00:00+00
16634,WW91,3,Temperature - 00011,23,C,,6/23/18,00:00:00+00
16640,WW91,0.5,Temperature - 00011,25,C,,7/7/18,00:00:00+00
16641,WW91,3,Temperature - 00011,22,C,,7/7/18,00:00:00+00
16658,WW91,0.5,Temperature - 00011,24,C,,7/13/18,00:00:00+00
16659,WW91,3,Temperature - 00011,24,C,,7/13/18,00:00:00+00
16666,WW91,0.5,Temperature - 00011,26,C,,7/27/18,00:00:00+00
16667,WW91,3,Temperature - 00011,26,C,,7/27/18,00:00:00+00
16674,WW91,0.5,Temperature - 00011,27,C,,8/11/18,00:00:00+00
16675,WW91,3,Temperature - 00011,27,C,,8/11/18,00:00:00+00
16694,WW91,0.5,Temperature - 00011,28,C,,8/18/18,00:00:00+00
16695,WW91,3,Temperature - 00011,27,C,,8/18/18,00:00:00+00
16702,WW91,0.5,Temperature - 00011,25.5,C,,9/1/18,00:00:00+00
16703,WW91,3,Temperature - 00011,25.5,C,,9/1/18,00:00:00+00
16722,WW91,0.5,Temperature - 00011,22,C,,9/15/18,00:00:00+00
16723,WW91,3,Temperature - 00011,22,C,,9/15/18,00:00:00+00
16728,WW91,0.5,Temperature - 00011,18,C,,9/29/18,00:00:00+00
16729,WW91,3,Temperature - 00011,19,C,,9/29/18,00:00:00+00
16734,WW91,0.5,Temperature - 00011,18,C,,10/6/18,00:00:00+00
16735,WW91,3,Temperature - 00011,19,C,,10/6/18,00:00:00+00
