OBJECTID,Station_Name,Depth,Parameter,Concentration,Unit,Monitoring_Location,Date_of_Sample
1,WW03,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",2.1,ug/l,,2018/09/09 00:00:00+00
2,WW03,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",2.5,ug/l,,2018/09/23 00:00:00+00
3,WW03,1,Alkalinity - 00410,19.19,mg/l,,2018/05/05 00:00:00+00
4,WW03,1,Alkalinity - 00410,17.89,mg/l,,2018/05/05 00:00:00+00
5,WW03,0.5,Chloride - 00940,38,mg/l,,2018/05/05 00:00:00+00
6,WW03,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",9.3,ug/l,,2018/05/05 00:00:00+00
7,WW03,,"Depth to bottom from water surface at sampling location, meters - 82903",2.4,,,2018/05/05 00:00:00+00
8,WW03,0.5,Enterococci - 31639,0.1,MPN/100ml,,2018/05/05 00:00:00+00
9,WW03,0.5,"Nitrate + Nitrite, Dissolved - 00631",0.345,mg/l,,2018/05/05 00:00:00+00
10,WW03,0.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.085,ug/l,,2018/05/05 00:00:00+00
11,WW03,0.5,"Nitrogen, Total (unfiltered) - 00600",0.905,ug/l,,2018/05/05 00:00:00+00
12,WW03,1,pH - 00400,7.17,S.U.,,2018/05/05 00:00:00+00
13,WW03,1,pH - 00400,6.83,S.U.,,2018/05/05 00:00:00+00
14,WW03,0.5,"Phosphorus, Dissolved - 00666",10,ug/l,,2018/05/05 00:00:00+00
15,WW03,0.5,"Phosphorus, Total - 00665",27,ug/l,,2018/05/05 00:00:00+00
16,WW03,,Secchi Depth - 00069,1.73,,,2018/05/05 00:00:00+00
17,WW03,0.1,Temperature - 00011,20.3,C,,2018/05/05 00:00:00+00
18,WW03,1,Temperature - 00011,20.6,C,,2018/05/05 00:00:00+00
19,WW03,,"Depth to bottom from water surface at sampling location, meters - 82903",2.1,,,2018/05/13 00:00:00+00
20,WW03,,Secchi Depth - 00069,1.61,,,2018/05/13 00:00:00+00
21,WW03,0.1,Temperature - 00011,18.2,C,,2018/05/13 00:00:00+00
22,WW03,1,Temperature - 00011,18,C,,2018/05/13 00:00:00+00
23,WW03,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",3.6,ug/l,,2018/05/28 00:00:00+00
24,WW03,,"Depth to bottom from water surface at sampling location, meters - 82903",2.25,,,2018/05/28 00:00:00+00
25,WW03,,Secchi Depth - 00069,2.08,,,2018/05/28 00:00:00+00
26,WW03,0.1,Temperature - 00011,21.1,C,,2018/05/28 00:00:00+00
27,WW03,1,Temperature - 00011,19.7,C,,2018/05/28 00:00:00+00
28,WW03,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",3.5,ug/l,,2018/06/03 00:00:00+00
29,WW03,,"Depth to bottom from water surface at sampling location, meters - 82903",2.4,,,2018/06/03 00:00:00+00
30,WW03,,Secchi Depth - 00069,1.86,,,2018/06/03 00:00:00+00
31,WW03,0.1,Temperature - 00011,25.1,C,,2018/06/03 00:00:00+00
32,WW03,1,Temperature - 00011,22.5,C,,2018/06/03 00:00:00+00
33,WW03,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",3.4,ug/l,,2018/06/17 00:00:00+00
34,WW03,,"Depth to bottom from water surface at sampling location, meters - 82903",2.25,,,2018/06/17 00:00:00+00
35,WW03,,Secchi Depth - 00069,2.25,,,2018/06/17 00:00:00+00
36,WW03,0.1,Temperature - 00011,24.1,C,,2018/06/17 00:00:00+00
37,WW03,1,Temperature - 00011,23,C,,2018/06/17 00:00:00+00
38,WW03,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",5.7,ug/l,,2018/06/22 00:00:00+00
